,Job Title,Company,Description
1,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
2,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
3,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
4,Behavioral Health Therapist,Tia,"Tia encourages honest and transparent conversations about patients’ health, both with their care team and their community of members, to help women make…"
5,Telephone Representative II,1199SEIU Family of Funds,"Communicate with doctors, hospitals, and other professionals via telephone regarding 1199SEIU members, dependent eligibility for health benefits, claims, and…"
6,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
7,Investigative Officer 1 (SIF),"Insurance Fund, State","Directs undercover surveillance at worksites, private homes, and businesses belonging to claimants, doctors, and/or policyholders utilizing the services of…"
8,Telemedicine Physician,Opear,"Are entirely in control of their schedule, setting their own days and hours.
Are expected to diagnose patients via video call and write prescriptions if needed."
9,Secretary - Lvl IIIa-Food and Nutrition,NYC Health + Hospitals,Process patient snacks and supplement labels based on doctor's diet orders and ensure assigned reports are completed in a timely manner.
10,Care Coordinator,EmblemHealth/AdvantageCare Physicians,"Remove barriers to assist members in meeting care plan goals, including making doctors’ appointments, referrals to internal and external resources, and setting…"
11,Receptionist Optometry Office,Fokas Eyecare,"You will also be assisting the doctor with pre-testing of patients.
Seeking full time receptionist for busy optometry office in Astoria NY."
12,Press Intern,Doctors Without Borders | Médecins Sans Frontières,The Communications Department is responsible for developing a coherent voice and delivering clear public messages to inform both US and international audiences…
13,"Doctor Partnership Manager, Inside Sales",Capsule,You have 4+ years of inside B2B experience in a sales role selling products or services to doctors and their practices.
14,Courier - Bike,Capsule,"Available to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidays.
Must be at least 18 years old."
15,Telemedicine Nurse Practitioner,Opear,"Are entirely in control of their schedule, setting their own days and hours.
Are expected to diagnose patients via video call and write prescriptions if needed."
16,Manhattan Office Manager,"Long Island Plastic Surgical Group, PC","Further develop and maintain a full understanding of all LIPSG doctor preferences and procedures.
Maintain business cards, doctor profiles, DBMS marketing…"
17,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
18,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
19,Marketing Coordinator,Sollis Health,"We are looking for a savvy Marketing Coordinator to join the team, who reports directly to both the Marketing Director and Brand Marketing Director."
20,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
21,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
